"Ano","Trimestre","OrganismosInternacionales","ClubdeParis","BonosExternos","BonosInternos","Banca","OtrasFuentes","Total"
"2005","1","7,875","8,126.1","7,260.8","3,810.2","909.9","1,142.4","29,124.4"
"2005","2","7,726","7,593.8","7,205","3,887.3","906.6","1,127.4","28,446.1"
"2005","3","7,708.3","5,840.9","7,905.2","4,727","901.6","1,098","28,180.9"
"2005","4","7,982.9","5,695.8","8,393.5","4,888.3","894.9","277.8","28,133.2"
"2006","1","7,866","5,662.4","8,365","5,087.4","878.2","269.2","28,128.3"
"2006","2","7,767.1","5,746.1","8,410","5,251.6","862.9","182.5","28,220.3"
"2006","3","7,621.9","5,626.7","8,359.5","5,347.2","835.4","178.5","27,969.2"
"2006","4","7,843.3","5,629.2","8,391.8","5,676.2","772.6","169.4","28,482.4"
"2007","1","7,669.8","5,592.2","8,202.8","6,606","0.5","165.7","28,237.1"
"2007","2","7,523.8","5,453.5","8,208.2","6,890.7","0.6","148.3","28,225.1"
"2007","3","7,609.6","5,684.8","8,234.9","8,659","33.6","144.9","30,366.8"
"2007","4","7,851.3","3,882.9","8,261.6","9,202.9","33.5","138.7","29,370.9"
"2008","1","7,748.5","4,192.9","7,000.8","10,096.3","36.5","140.7","29,215.7"
"2008","2","7,709.9","4,010.1","6,997.5","9,701.6","32.8","128.8","28,580.7"
"2008","3","7,719.2","3,840.8","6,889.1","9,422.5","38.9","122.8","28,033.3"
"2008","4","7,926.4","4,170.2","6,880.1","9,705","220.8","112","29,014.6"
"2009","1","7,886","3,886.1","7,837.2","9,669.8","250.7","107.5","29,637.2"
"2009","2","7,788.1","4,001.4","7,888.8","10,256","287.8","101.4","30,323.6"
"2009","3","7,847.5","3,278.6","8,925.8","10,865","309.3","97.6","31,323.7"
"2009","4","8,310.9","3,133.4","8,906.5","10,936.9","362.7","86.5","31,736.9"
"2010","1","8,321.2","3,128.1","8,852.6","11,184.6","398.6","81.5","31,966.5"
"2010","2","8,252.8","3,170","8,278","11,698.3","393.9","75.2","31,868.2"
"2010","3","8,302.8","3,380.4","8,319.1","12,135.9","478.2","69","32,685.3"
"2010","4","7,809.9","2,548.1","9,308.3","13,478.5","561.2","60","33,766"
"2011","1","7,904.3","2,593","9,334.2","13,442","642","58.1","33,973.6"
"2011","2","7,787","2,583.8","9,344.2","13,663.2","686","55.5","34,119.7"
"2011","3","7,874.7","2,592.8","9,311.8","13,706.5","852.2","55.5","34,393.5"
"2011","4","7,913.4","2,648.3","9,299.3","14,200.1","887.8","46.9","34,995.8"
"2012","1","7,859.9","2,520.3","9,898.2","14,953","811.6","46.9","36,089.9"
"2012","2","7,703.6","2,565.4","9,890.6","15,004.9","837","44.2","36,045.7"
"2012","3","7,684.7","2,577.6","9,893.4","15,662.3","868.2","44.2","36,730.4"
"2012","4","7,634.1","2,430.4","10,008.3","16,004.6","970","39.6","37,087"
"2013","1","7,118.9","2,210.7","10,493.7","16,532.3","895.4","39.6","37,290.5"
"2013","2","5,687.6","2,129.1","10,501.9","15,745.9","867.7","34.9","34,967.1"
"2013","3","5,711.1","2,095.6","10,510.5","15,697.5","1,099.4","34.9","35,149.1"
"2013","4","5,736.4","1,959","10,520.5","15,782","1,294","30.3","35,322.1"
"2014","1","5,673.2","1,980.9","10,520","15,813.9","1,296.8","30.3","35,315.1"
"2014","2","5,733.5","1,937.8","11,110.4","16,359","1,821","25.6","36,987.4"
"2014","3","5,686.6","1,769.8","11,661.5","16,241.9","1,745.1","25.6","37,130.5"
"2014","4","5,678.7","1,627.3","11,290.3","17,294.8","2,109","21","38,021.1"
"2015","1","5,935.3","1,619.6","11,219.2","17,627.8","2,123.2","21","38,546.1"
"2015","2","5,861.9","1,534","11,231.3","17,228.4","2,389.8","18.4","38,263.8"
"2015","3","6,418.1","1,564.5","13,273.7","17,431.3","2,413.3","18.4","41,119.2"
"2015","4","6,447","1,524","14,486.6","16,492.6","2,682.6","15.9","41,648.7"
"2016","1","6,443.5","1,649.1","15,734.8","17,729.4","2,694.1","15.9","44,266.6"
"2016","2","6,457.5","1,672.8","15,392.8","18,373.3","2,758.5","13.3","44,668.2"
"2016","3","6,459.8","1,648","15,387.1","18,521.4","2,318.9","13.3","44,348.7"
